epoch,generator_loss,critic_loss,amp_reward,toxicity_penalty,collagen_reward,diversity_reward,composition_penalty,low_complexity_penalty,repeated_motif_penalty,length_distribution_loss
1,-0.41073102160083613,-1.7964802483177704,0.7437719723776631,0.003933168552896898,0.11391112771209168,0.1937115490436554,0.0005220451427664121,0.0,0.004279775259024261,0.021420569644997948
2,-0.731189251108014,-2.1884052494297856,0.9431793592546297,0.0045409851907448765,0.2473631012051002,0.32536911478509073,0.004980116143680947,0.00011476341371788926,0.016200429405612143,0.01161691639572382
3,-0.8483625485197358,-2.0617504715919495,0.9435841084822364,0.007998760992094227,0.25770135628788365,0.404170909329601,0.008836278168018907,0.0008346313337350022,0.02420066742469435,0.014264235445095794
4,-0.9124990144501561,-1.9636752994164177,0.9485337157612261,0.011554316744086858,0.2605315817762976,0.451553940449072,0.01443323989034347,0.0016792517955131505,0.025725682063595108,0.014534491822933373
5,-0.9770852372698162,-1.8653882858545885,0.9427623884833377,0.015591457078699023,0.27206514387027075,0.4870725222255873,0.015648477553875873,0.002255885897244772,0.02521977671826987,0.018362477391391345
6,-1.0324074425127194,-1.7860459374344868,0.9433696691108786,0.01748033954873276,0.2669816151585268,0.510498980789081,0.017661041266325374,0.002329740470842175,0.024102363249529964,0.023446876950481015
7,-1.1036391459081485,-1.7084932573463605,0.9407303462857786,0.02026613223184224,0.2712833423005498,0.5251667531936065,0.01689830282703042,0.003230520842961319,0.025575973093509674,0.024431081913897524
8,-1.1437732434791068,-1.6562888777774314,0.939772829413414,0.02151572112115505,0.2774639451957267,0.5377375859281291,0.01838575856274237,0.003437819177001391,0.02454298644569581,0.028926347169782155
9,-1.2282021777785344,-1.5964256188143855,0.9362086925817572,0.022230113340217784,0.2803007662296295,0.5433094281217327,0.019371431346213365,0.003266383554664967,0.022860848395477817,0.030800773954504857
10,-1.2367880739595578,-1.549050298721894,0.9340210317269616,0.02674447325989604,0.28546536843413894,0.5521397104729777,0.01931484277441126,0.0037734392200313186,0.0248188402240529,0.03470886952203253
11,-1.3024072822021402,-1.5196945421073749,0.9341871317314066,0.02815960758142983,0.27569179900962376,0.554870310684909,0.02103773455904878,0.004042539441877086,0.023409654679910644,0.036733394772138286
12,-1.3126936561387519,-1.4853829300921897,0.9355921350095583,0.029413129572513633,0.2771394884456759,0.5635164172753043,0.020519606551438894,0.003935706315805082,0.023236507691604937,0.04137253690430004
13,-1.310885122936705,-1.45491259512694,0.9329867680435595,0.03046025977085304,0.28105420117144997,0.5683930127517037,0.02208216255530715,0.004015369609038791,0.022961955396053585,0.0445369263989446
14,-1.3371925600197003,-1.4305482416049293,0.9323860115331152,0.031232447439359257,0.2874484990278016,0.5688397139310837,0.023744301374434777,0.004689623915549853,0.022806057979798188,0.04128873105282369
15,-1.3452632926080539,-1.407821096803831,0.9319666708293168,0.031137090166220845,0.27910340302016423,0.5711727472751037,0.02419096588804994,0.004293442162199189,0.022763385599398094,0.05150771853716477
16,-1.3563039523103964,-1.3887267034986746,0.927665703970453,0.03327354701215644,0.2834394054244394,0.5710459681956664,0.025910464267286916,0.004418999316049335,0.02197788287278103,0.04867907135706881
17,-1.3763088136911392,-1.3713473159333933,0.9279206855141598,0.03547530584847149,0.2864651679992676,0.5751357849525369,0.024573313720200374,0.00488245641083821,0.022038249906314457,0.050732885082454784
18,-1.4087392655403719,-1.350915438455084,0.9311608296373616,0.0313149199406009,0.29043631385201996,0.5769271442423696,0.024986399550233847,0.004485944412527201,0.022013483042626278,0.05480153141948192
19,-1.4386217192463253,-1.3289829077927962,0.9253737382266832,0.03433526643430409,0.28549279450722365,0.5751181406819302,0.02465288981835803,0.0048036899002592845,0.0223223805812228,0.05750526327882772
20,-1.4610273838043213,-1.3195399603118068,0.9254691199116085,0.037355328024284026,0.28458867837553437,0.5805844224017599,0.02595423819983135,0.004846806222896861,0.021816576112304694,0.05856049423227492
21,-1.4630193425261455,-1.3070119075153186,0.921633766397186,0.03545308902191565,0.2876196827577508,0.5804210382959117,0.027591614487945386,0.004987681805885032,0.022161480201327282,0.060057213955113424
22,-1.4641425298607869,-1.2920572045056715,0.9201448987359586,0.03771655009452091,0.2845751941204071,0.58334428395914,0.026576139619978872,0.004873866665824924,0.02039700115868903,0.0651972211451958
23,-1.455793796674065,-1.2753777037496152,0.918841214283653,0.04104327072855085,0.2937949341924294,0.5831625578196152,0.027205428493249674,0.005527666182783635,0.022583436322115038,0.06518525113959027
24,-1.491030041290366,-1.2693124141382135,0.918984046448832,0.039672120393294354,0.288598560768625,0.5848608911037445,0.028144172372539408,0.0053763771277811866,0.02111363066765277,0.06790208935980564
25,-1.517455588216367,-1.2613145242566648,0.9202357005813847,0.03399697026116368,0.28933781353027926,0.582328165354936,0.027266298420727253,0.005566346681798282,0.02289080424942886,0.07034682379225674
26,-1.5060718227987704,-1.25874757507573,0.9224662469780963,0.04593711007264969,0.28627705833186273,0.5876597859289335,0.02820839547633153,0.005486118799561392,0.02125312298860239,0.07543364509373256
27,-1.5258446024811787,-1.2512334222378938,0.9206584115391192,0.04123928727906035,0.28982453922862594,0.5878671524317368,0.027830246633485607,0.005999608137442366,0.02249633968281357,0.07356781399120456
28,-1.5100662850815316,-1.2454703890759011,0.9187667408715123,0.036579172612856266,0.29551844768550084,0.5872487814530082,0.0276220111662279,0.006366274962404176,0.020672441946099632,0.07580790247606195
29,-1.4836532978907875,-1.2384493402812793,0.9143704169470331,0.0438812554044568,0.29189005688480707,0.5885187303242476,0.029200488893801103,0.005427309595372366,0.02050465563028727,0.08224781493291906
30,-1.4845299150632776,-1.2428454044072523,0.9161478909461395,0.04040220418297078,0.29477889511896216,0.5859379399081935,0.029814131345356935,0.005873705103548001,0.022016445134320984,0.07547436974456777
31,-1.467095233823942,-1.239491931770159,0.9172946732977162,0.0460610021735825,0.29217126673978305,0.5893032311097436,0.03135044911228444,0.006151808132215038,0.023261570827225627,0.08111189874698935
32,-1.4673662729885266,-1.2377987478090369,0.9154389215552289,0.044880554454563105,0.29487407515230385,0.5852568855752116,0.030046580511185784,0.005818778648972511,0.022610127925872803,0.0751030748386098
33,-1.4232807237169016,-1.2425035056860552,0.9141716348088306,0.04034285923040917,0.29740834203751193,0.5860994354538296,0.03073941497132182,0.005513023959634745,0.024264569667613377,0.08181974255358396
