length,n_sequences,collagen_motif_score_mean,glycine_frame_fraction_mean,xy_proline_fraction_mean
8,1818,0.9116886688668867,1.0,0.5584433443344334
9,1932,0.9120255348516217,1.0,0.560127674258109
10,1902,0.9119873817034699,1.0,0.5599369085173501
11,1802,0.9114872364039955,1.0,0.5574361820199778
12,2329,0.9022148275368541,1.0,0.5110741376842708
13,2818,0.8944582446179324,1.0,0.4722912230896617
14,3421,0.8898640748319206,1.0,0.44932037415960246
15,3334,0.8904634073185363,1.0,0.45231703659268147
16,3222,0.8912104283054004,1.0,0.4560521415270019
17,3020,0.8907615894039734,1.0,0.45380794701986754
18,2904,0.8914204545454545,0.9999426078971534,0.45728879706152437
19,2770,0.8921209386281589,0.9999398315282793,0.4608002406738869
20,2615,0.8926823272329966,0.9998907402349085,0.46376673040152966
21,2342,0.8922756292952707,0.9999390020739294,0.46157638973608234
22,2179,0.8933268591970979,0.9998115124893464,0.4672468803951135
23,1992,0.8944626721170397,0.9996234939759037,0.47353700516351116
24,2469,0.8900570647457039,0.9995443499392467,0.45176618642596766
25,2821,0.8861564414847827,0.9997784473590925,0.4315022535068618
26,3324,0.8840967208182913,1.0,0.4204836040914561
27,3096,0.8848994221935114,1.0,0.4244971109675567
28,2913,0.8856185871762597,1.0,0.4280929358812984
29,2542,0.8856849374945364,1.0,0.4284246874726812
30,2435,0.8860880675336529,1.0,0.4304403376682638
