split,label,length,n_sequences
test,0,8,25
test,0,9,31
test,0,10,35
test,0,11,21
test,0,12,20
test,0,13,17
test,0,14,19
test,0,15,30
test,0,16,18
test,0,17,23
test,0,18,8
test,0,19,11
test,0,20,35
test,0,21,16
test,0,22,12
test,0,23,19
test,0,24,16
test,0,25,16
test,0,26,12
test,0,27,11
test,0,28,21
test,0,29,19
test,0,30,15
test,1,8,11
test,1,9,21
test,1,10,18
test,1,11,14
test,1,12,47
test,1,13,58
test,1,14,38
test,1,15,17
test,1,16,27
test,1,17,45
test,1,18,40
test,1,19,25
test,1,20,38
test,1,21,35
test,1,22,18
test,1,23,28
test,1,24,45
test,1,25,32
test,1,26,22
test,1,27,16
test,1,28,11
test,1,29,30
test,1,30,27
train,0,8,103
train,0,9,128
train,0,10,151
train,0,11,126
train,0,12,106
train,0,13,96
train,0,14,94
train,0,15,160
train,0,16,77
train,0,17,74
train,0,18,74
train,0,19,56
train,0,20,113
train,0,21,69
train,0,22,42
train,0,23,75
train,0,24,68
train,0,25,77
train,0,26,59
train,0,27,67
train,0,28,67
train,0,29,125
train,0,30,93
train,1,8,62
train,1,9,80
train,1,10,119
train,1,11,80
train,1,12,163
train,1,13,253
train,1,14,162
train,1,15,162
train,1,16,153
train,1,17,154
train,1,18,157
train,1,19,159
train,1,20,205
train,1,21,134
train,1,22,104
train,1,23,127
train,1,24,160
train,1,25,135
train,1,26,79
train,1,27,92
train,1,28,90
train,1,29,122
train,1,30,143
val,0,8,23
val,0,9,34
val,0,10,41
val,0,11,22
val,0,12,14
val,0,13,14
val,0,14,26
val,0,15,33
val,0,16,11
val,0,17,16
val,0,18,11
val,0,19,12
val,0,20,24
val,0,21,17
val,0,22,13
val,0,23,10
val,0,24,24
val,0,25,18
val,0,26,16
val,0,27,15
val,0,28,11
val,0,29,24
val,0,30,21
val,1,8,12
val,1,9,19
val,1,10,19
val,1,11,14
val,1,12,33
val,1,13,64
val,1,14,40
val,1,15,27
val,1,16,26
val,1,17,38
val,1,18,33
val,1,19,29
val,1,20,30
val,1,21,28
val,1,22,27
val,1,23,25
val,1,24,37
val,1,25,46
val,1,26,22
val,1,27,22
val,1,28,17
val,1,29,29
val,1,30,26
